episode,reward,won,kills
121,-774.3242982997181,0,0
122,-3223.1002439198082,0,0
123,-515.7901398682172,0,0
124,-1205.7719602609195,0,0
125,-1057.054829003944,0,0
126,-1835.2822181945023,0,0
127,-901.0503784755804,0,0
128,-59.43685376492883,0,0
129,-768.4897810309365,0,1
130,-507.8422387554049,0,0
131,-10078.262828379235,0,0
132,-651.745961411197,0,0
133,-796.285056886659,0,0
134,3071.163980098754,0,1
135,-493.81519908965026,0,0
136,-3430.7254913605507,0,0
137,-515.4899272924384,0,0
138,-3655.957432161748,0,0
139,-473.53874342392515,0,0
140,-1613.0690319321916,0,1
141,-504.80021643427193,0,0
142,-1601.9843504247572,0,1
143,-579.8705354760256,0,0
144,-547.1216088737576,0,0
145,-679.1754525860288,0,0
146,-463.4176988855887,0,1
147,-508.8968093667615,0,0
148,-2725.8943269307606,0,2
149,-528.0751640733129,0,0
150,-994.8803004089036,0,0
151,1138.1278989911975,0,0
152,-4990.076132243525,0,0
153,-1079.8578656273762,0,0
154,-1034.781390868881,0,0
155,-1556.8090896905846,0,1
156,-5089.919521034378,0,0
157,4380.047894685879,0,0
158,-498.8446502159596,0,0
159,-769.9698477259863,0,0
160,-481.95795889805885,0,0
161,-267.5542082686055,0,0
162,-671.9328574433538,0,0
163,92.00686343772753,0,0
164,-572.1651901071025,0,0
165,-1634.5147778792546,0,0
166,-637.7429577137332,0,0
167,-311.0942280441645,0,0
168,-556.1710113381407,0,0
169,-506.89485347778805,0,0
170,-653.8979699851221,0,0
171,2008.9229242232882,0,0
172,-782.9777841227121,0,0
173,-503.2271571446316,0,0
174,-304.22863263356464,0,0
175,203127.67671021432,1,7
176,-1261.6567127918788,0,0
177,-1522.2537970482608,0,0
178,3373.841567445855,0,1
179,-599.8180839009725,0,0
180,-500.62105471517475,0,0
181,-505.5213527185051,0,0
182,-583.1334423617792,0,0
183,-496.26660301559957,0,0
184,1695.5845956651804,0,0
185,-717.0919646547161,0,0
186,117999.44825942528,1,4
187,-1599.582165129345,0,0
188,-1622.0385703774657,0,0
189,-496.1187716635609,0,0
190,-517.0442655264486,0,0
191,-2001.4105061047105,0,0
192,-754.6830314114195,0,0
193,-559.0896214659972,0,0
194,19222.174504854524,0,0
195,-599.506560159587,0,0
196,-476.81201792392454,0,0
197,-490.2397735111575,0,0
198,25.26361737541805,0,2
199,-1771.4591377945503,0,0
200,-800.227241001792,0,0
201,-581.3587120504637,0,0
202,-528.79393545267,0,0
203,-880.7333241312986,0,0
204,-527.5082640755719,0,1
205,-3438.0861336612493,0,0
206,-454.22988749601257,0,0
207,-511.9669527930238,0,0
208,-623.3202972794165,0,0
209,1564.7221198796224,0,0
210,-422.4448699354957,0,0
211,2816.943747243013,0,1
212,-3345.980352622438,0,0
213,-1078.3965094680184,0,0
214,-755.5065500844366,0,0
215,-518.1043224237184,0,0
216,-485.2725495900099,0,0
217,-663.4723066525466,0,0
218,-448.35869482688383,0,0
219,-1505.586042755518,0,0
220,-593.1418472525372,0,0
221,915.3723770513665,0,0
222,-514.4451691211857,0,0
223,-1215.1199195432291,0,0
224,-492.9203088764176,0,0
225,-615.8607780931538,0,0
226,-950.0909091425406,0,0
227,-1674.257817702765,0,0
228,2730.9208396766116,0,0
229,1572.8188812704898,0,1
230,-571.9488845023344,0,0
231,7307.037565564273,0,0
232,-834.7508292311543,0,0
233,-645.9372518085672,0,0
234,-540.2091412624999,0,0
235,-491.6611988206398,0,0
236,-502.529190354823,0,0
237,-3729.241847487915,0,1
238,-282.00516431125493,0,0
239,-584.924379962534,0,0
240,-113.61135338382036,0,0
241,-4036.1427251034534,0,1
242,-1341.2763820670962,0,0
243,-517.6346358443996,0,0
244,-901.4423252109239,0,0
245,-595.9320768602771,0,0
246,-20893.093506063287,0,0
247,-4860.609872280052,0,0
248,-3958.3410293993516,0,1
249,-681.400632219265,0,0
250,-528.5046133257249,0,0
251,-1366.4466688629577,0,0
252,-504.48018373844747,0,0
253,1314.477043353921,0,0
254,-560.112757460603,0,0
255,4439.825929917509,0,1
256,-697.5875034492785,0,0
257,-1392.3562609301673,0,0
258,-885.1604589865002,0,0
259,2706.2759687317043,0,2
260,-464.1695071910066,0,0
261,-590.3401035994012,0,0
262,-516.7109479576966,0,0
263,-733.8200841882308,0,0
264,-325.8788511816671,0,0
265,-1261.901470965291,0,1
266,-825.7181163188363,0,0
267,-1692.6396352539327,0,0
268,-1300.117550407673,0,0
269,-973.7287883993522,0,0
270,-1167.943433310364,0,0
271,-1264.8434345034696,0,0
272,-682.6439127469988,0,0
273,-3283.1550354076862,0,0
274,-1383.9040950071524,0,1
275,-708.8605374604961,0,0
276,-784.8131040813519,0,0
277,-530.9187973505502,0,1
278,2356.5810657747165,0,0
279,-921.6025524418526,0,0
280,-733.8616701650051,0,0
281,-573.4521648646667,0,0
282,-2450.892505093124,0,0
283,32.588570208278156,0,1
284,-663.5451659738095,0,0
285,-2584.091923704378,0,0
286,-2574.4868501651645,0,0
287,-811.4457143086033,0,0
288,-547.2954748971497,0,0
289,-575.523162187928,0,0
290,-844.6203887081333,0,0
291,96807.62475583394,1,5
292,-4514.752624406269,0,0
293,-508.34209385864125,0,0
294,-843.3331886672569,0,0
295,-2202.477620082085,0,1
296,-541.833203647956,0,0
297,-37.393001292400015,0,0
298,-98.23625203395358,0,0
299,-594.7401646318872,0,0
300,-692.2412238296807,0,0
301,-601.9873647723362,0,0
302,-511.6777603774573,0,0
303,-749.1182207644081,0,0
304,-594.31451625417,0,0
305,155.38049922313093,0,0
306,-490.16927877775925,0,0
307,-1302.0117765225818,0,1
308,-519.7224862905921,0,0
309,-543.4798323576015,0,0
310,-757.5151377662155,0,0
311,-546.1673421855,0,0
312,-492.12119020413394,0,0
313,-526.4980882920388,0,0
314,-519.0333252500916,0,1
315,-795.1619779089169,0,0
316,-561.8947344981376,0,0
317,-1221.9331357564101,0,0
318,-485.8627931183237,0,0
319,674.6070863058577,0,1
320,-1733.124838351623,0,0
321,-559.7425956134934,0,0
322,-516.9499058096685,0,0
323,-565.5364385725455,0,0
324,-483.1896922443492,0,0
325,-481.23236344414727,0,0
326,291.79892640937794,0,0
327,-657.5025965631362,0,0
328,-977.6890608761134,0,0
329,-515.4271072764319,0,0
330,-491.8473580644868,0,0
331,1470.5865057636042,0,0
332,424.78327424840256,0,0
333,-770.6589542946355,0,0
334,-651.5054782345333,0,0
335,-665.336930732477,0,0
336,-585.6746981428114,0,0
337,-729.3606422430562,0,0
338,-510.5429729877285,0,0
339,-439.0972010090666,0,1
340,-442.35400726970363,0,0
341,-503.19797184874153,0,0
342,-474.2421567481628,0,0
343,-608.2000043910498,0,0
344,-460.9288742948122,0,0
345,-580.4352403860856,0,0
346,-338.1671542630543,0,1
347,-533.5044209142751,0,2
348,-1256.6776243937077,0,0
349,-491.0562919663534,0,0
350,-504.3959695999005,0,0
351,-428.6438845749561,0,0
352,-505.25791643835163,0,0
353,-625.8679773948645,0,0
354,221.96910206623625,0,0
355,753.6582769435817,0,1
356,-501.53427234133125,0,0
357,1226.8269519057617,0,0
358,-756.0541688637644,0,0
359,-473.2234492236211,0,0
360,145.60446827065806,0,0
361,-512.7707204159283,0,0
362,-540.7466792662692,0,0
363,-680.0883966487224,0,0
364,-869.3643928699317,0,1
365,-571.7174686575647,0,0
366,-500.41180031033576,0,0
367,-980.3352597557571,0,0
368,-502.2002630294585,0,0
369,-818.5552313212222,0,1
370,-578.3005218009441,0,0
371,-296.5908857312543,0,0
372,-225.11978859021195,0,0
373,2066.1758761038664,0,1
374,-544.4536868552223,0,0
375,-1992.2076743764737,0,0
376,-561.9672633238365,0,0
377,-1860.3361388530313,0,0
378,-1446.4469988321782,0,0
379,-529.9498425173787,0,0
380,-1536.0942659597251,0,0
381,-680.482131187021,0,0
382,-633.0433834572857,0,0
383,-1029.9136239703982,0,0
384,-594.678644965342,0,0
385,-953.9743060051233,0,0
386,-1553.4350271281614,0,1
387,-804.8877922246418,0,0
388,-1182.3309311571682,0,0
389,857.1366355444877,0,1
390,-1874.670946908031,0,1
391,-507.5594407726997,0,0
392,-956.7765529710493,0,1
393,952.3851564529346,0,1
394,503.16691099355353,0,0
395,-858.0801355047125,0,0
396,-506.6247413596446,0,0
397,-583.3293834059076,0,0
398,-555.6152210876054,0,0
399,-914.9687185823566,0,0
400,-513.108664996749,0,0
401,-1506.144478833085,0,0
402,-567.9449861371563,0,0
403,-1133.3849414236965,0,0
404,-546.7213796466557,0,0
405,-538.0631098686761,0,0
406,-609.5377292452891,0,0
407,-514.7596742837699,0,0
408,177.85465041287694,0,0
409,-1509.0400549950257,0,1
410,-651.3687152666956,0,0
411,-562.9262622728692,0,0
412,-889.1303915326487,0,0
413,1148.5418515056633,0,1
414,-305.4449043185558,0,0
415,-618.125210885242,0,0
416,2382.1937683893434,0,1
417,9528.110169045167,0,2
418,-641.9000849166598,0,0
419,-552.3505857555939,0,0
420,-582.5392828076506,0,0
421,-582.1760102918475,0,0
422,-524.5994811012196,0,0
423,1510.9279825573092,0,0
424,-1622.7587320469029,0,0
425,-549.4984606901361,0,0
426,-354.25998455128337,0,0
427,-65.52482195939419,0,0
428,-971.0441753862939,0,0
429,-509.5874668038301,0,0
430,-513.1117161605898,0,0
431,-4.092964332159454,0,0
432,-570.7020751599002,0,0
433,-291.77319503063234,0,0
434,-759.1388119450405,0,0
435,-1385.5874789534937,0,1
436,-3259.5895994218163,0,0
437,-502.84036676700237,0,0
438,-1501.8836924129173,0,1
439,-553.5273327918399,0,0
440,-1016.4528603354314,0,0
441,-1504.8000519337347,0,1
442,-1878.5918049693892,0,1
443,-1621.1322012642995,0,0
444,-2039.7605021269223,0,0
445,-2372.779923431269,0,0
446,-989.2593927295588,0,0
447,-679.3545409374474,0,0
448,-515.1836927377366,0,0
449,-505.2979992913061,0,0
450,994.0889604909755,0,2
451,9772.263430454159,0,3
452,-534.9876277197022,0,0
453,-482.7434295920517,0,0
454,-522.6643415574943,0,0
455,1211.6926550559078,0,1
456,-702.2643569897596,0,0
457,1920.7803765155727,0,1
