timestamp,episode,step,action,action_name,reward,done,score,steps_alive,nearest_food_dx,nearest_food_dy,food_count,has_virus,q_value,td_error
2025-12-07T14:23:04.050717,0,0,0,UP,0.7288,0,0,1,-0.095,0.007,45,0,0.8390,0.0000
2025-12-07T14:23:05.951916,0,1,0,UP,0.6919,0,0,2,-0.090,0.006,47,1,1.0769,0.0000
2025-12-07T14:23:07.799530,0,2,0,UP,0.7475,0,0,3,-0.118,0.038,41,1,0.7477,0.0000
2025-12-07T14:23:09.645443,0,3,0,UP,0.8175,0,0,4,-0.095,0.038,37,1,0.8187,0.0000
2025-12-07T14:23:11.925913,0,4,0,UP,0.7512,0,0,5,-0.078,0.036,39,1,0.8952,0.0000
2025-12-07T14:23:13.935494,0,5,0,UP,0.7506,0,0,6,-0.248,0.138,36,1,1.0322,0.0000
2025-12-07T14:23:16.008599,0,6,0,UP,-50.0000,1,0,7,0.312,0.199,28,0,0.7586,0.0000
2025-12-07T14:23:25.549670,1,0,0,UP,-50.0000,1,0,1,-0.031,0.188,22,0,0.7970,0.0000
2025-12-07T14:23:34.785682,2,0,0,UP,0.6513,0,0,1,-0.142,0.149,42,1,1.0463,0.0000
2025-12-07T14:23:36.858440,2,1,0,UP,0.7085,0,0,2,0.149,-0.005,41,1,0.6242,0.0000
2025-12-07T14:23:38.880938,2,2,0,UP,0.6766,0,0,3,-0.084,-0.072,43,1,0.8170,0.0000
