timestamp,episode,step,action,action_name,reward,done,score,steps_alive,nearest_food_dx,nearest_food_dy,food_count,has_virus,q_value,td_error
2025-12-07T14:27:30.659840,0,51,2,LEFT,0.9970,0,0,52,-0.044,0.314,56,0,0.0000,3.9334
2025-12-07T14:27:32.512880,0,52,2,LEFT,0.9989,0,0,53,-0.131,-0.021,75,1,0.0000,3.9326
2025-12-07T14:27:34.399696,0,53,1,DOWN,1.0007,0,0,54,-0.045,-0.148,86,1,0.0000,3.9325
2025-12-07T14:27:36.343663,0,54,3,RIGHT,1.0025,0,0,55,-0.118,-0.039,91,0,0.0000,3.9326
2025-12-07T14:27:38.264821,0,55,2,LEFT,1.0043,0,0,56,-0.043,0.124,100,1,0.0000,3.9321
2025-12-07T14:27:40.687201,0,56,2,LEFT,1.0060,0,0,57,-0.030,-0.178,88,1,0.0000,3.9340
2025-12-07T14:27:42.639159,0,57,2,LEFT,1.0078,0,0,58,-0.103,-0.079,100,1,0.0000,3.9366
2025-12-07T14:27:44.565222,0,58,3,RIGHT,1.0094,0,0,59,-0.068,-0.127,86,0,0.0000,3.9363
2025-12-07T14:27:46.430940,0,59,3,RIGHT,1.0111,0,0,60,-0.138,-0.103,89,0,0.0000,3.9363
2025-12-07T14:27:48.314109,0,60,3,RIGHT,1.0127,0,0,61,-0.117,-0.095,85,0,0.0000,3.9346
2025-12-07T14:27:50.241151,0,61,1,DOWN,1.0143,0,0,62,-0.156,-0.098,99,1,0.0000,3.9401
2025-12-07T14:27:52.125801,0,62,0,UP,1.0159,0,0,63,0.108,-0.105,100,1,0.0000,3.9318
2025-12-07T14:27:53.991546,0,63,2,LEFT,1.0174,0,0,64,-0.130,0.117,100,1,0.0000,3.9317
2025-12-07T14:27:55.877838,0,64,1,DOWN,1.0190,0,0,65,-0.015,-0.135,100,1,0.0000,3.9298
2025-12-07T14:27:57.771917,0,65,0,UP,1.0205,0,0,66,-0.123,-0.102,100,1,0.0000,3.9312
2025-12-07T14:27:59.658045,0,66,1,DOWN,1.0220,0,0,67,0.131,0.047,100,1,0.0000,3.9346
2025-12-07T14:28:01.582920,0,67,3,RIGHT,1.0234,0,0,68,-0.109,-0.105,100,1,0.0000,3.9365
2025-12-07T14:28:03.467317,0,68,1,DOWN,1.0248,0,0,69,0.176,0.003,100,1,0.0000,3.9339
2025-12-07T14:28:05.445373,0,69,2,LEFT,1.0263,0,0,70,-0.112,0.080,100,1,0.0000,3.9309
2025-12-07T14:28:07.450504,0,70,1,DOWN,1.0820,0,0,71,0.152,0.046,100,1,0.0000,3.9329
2025-12-07T14:28:09.441880,0,71,3,RIGHT,1.0290,0,0,72,-0.083,0.045,100,1,0.0000,3.9316
2025-12-07T14:28:11.826006,0,72,1,DOWN,1.0304,0,0,73,0.009,-0.127,100,1,0.0000,3.9318
2025-12-07T14:28:13.785252,0,73,3,RIGHT,1.0157,0,0,74,0.056,0.105,77,1,0.0000,3.9324
2025-12-07T14:28:15.859535,0,74,0,UP,-50.0000,1,0,75,0.152,-0.089,42,0,0.0000,3.9257
2025-12-07T14:28:25.184767,1,0,2,LEFT,0.6153,0,0,1,0.015,-0.147,28,1,0.0000,3.9317
2025-12-07T14:28:27.128658,1,1,3,RIGHT,0.6479,0,0,2,-0.028,-0.387,23,1,0.0000,3.9337
2025-12-07T14:28:28.989491,1,2,1,DOWN,0.6946,0,0,3,0.346,-0.222,19,0,0.0000,3.9303
2025-12-07T14:28:30.849711,1,3,2,LEFT,0.8115,0,0,4,-0.074,-0.420,28,0,0.0000,3.9339
2025-12-07T14:28:33.161759,1,4,0,UP,0.7512,0,0,5,-0.006,0.096,61,1,0.0000,3.9333
2025-12-07T14:28:35.212112,1,5,3,RIGHT,0.7446,0,0,6,-0.140,0.117,36,0,0.0000,3.9281
2025-12-07T14:28:37.335093,1,6,1,DOWN,-50.0000,1,0,7,-0.153,0.186,25,0,0.0000,3.9236
2025-12-07T14:28:47.306824,2,0,1,DOWN,0.6937,0,0,1,0.078,0.047,45,0,0.0000,3.9356
2025-12-07T14:28:50.611937,2,1,2,LEFT,0.6539,0,0,2,0.103,-0.023,49,0,0.0000,3.9277
2025-12-07T14:28:53.346060,2,2,2,LEFT,0.6686,0,0,3,0.031,-0.311,22,0,0.0000,3.9258
2025-12-07T14:28:55.545510,2,3,1,DOWN,-50.0000,1,0,4,-0.328,-0.279,15,0,0.0000,3.9343
2025-12-07T14:29:05.685024,3,0,3,RIGHT,0.6313,0,0,1,0.204,0.056,30,0,0.0000,3.9282
2025-12-07T14:29:07.676692,3,1,1,DOWN,0.7311,0,0,2,-0.124,0.013,31,0,0.0000,3.9127
2025-12-07T14:29:09.586927,3,2,2,LEFT,0.6846,0,0,3,0.016,-0.089,28,0,0.0000,3.9233
2025-12-07T14:29:11.712315,3,3,2,LEFT,0.7269,0,0,4,-0.192,0.109,23,0,0.0000,3.9309
2025-12-07T14:29:14.226237,3,4,3,RIGHT,0.7412,0,0,5,-0.116,-0.043,33,0,0.0000,3.9258
2025-12-07T14:29:16.288191,3,5,1,DOWN,0.7666,0,0,6,-0.105,-0.095,31,0,0.0000,3.9235
2025-12-07T14:29:18.226268,3,6,3,RIGHT,0.8155,0,0,7,-0.220,0.058,36,0,0.0000,3.9231
2025-12-07T14:29:20.245668,3,7,2,LEFT,0.7677,0,0,8,-0.006,-0.100,33,1,0.0000,3.9259
2025-12-07T14:29:22.406654,3,8,1,DOWN,0.7983,0,0,9,-0.248,-0.061,24,0,0.0000,3.9252
2025-12-07T14:29:24.664748,3,9,1,DOWN,0.8078,0,0,10,0.150,-0.103,34,0,0.0000,3.9185
2025-12-07T14:29:27.295661,3,10,3,RIGHT,0.7925,0,0,11,0.091,0.103,34,0,0.0000,3.9353
2025-12-07T14:29:29.176327,3,11,3,RIGHT,0.7865,0,0,12,0.242,-0.090,22,0,0.0000,3.9170
2025-12-07T14:29:31.276765,3,12,2,LEFT,-50.0000,1,0,13,-0.191,-0.080,15,0,0.0000,3.9039
2025-12-07T14:29:41.625038,4,0,0,UP,0.6173,0,0,1,0.249,-0.095,23,0,0.0000,3.9151
2025-12-07T14:29:43.790335,4,1,1,DOWN,-50.0000,1,0,2,0.103,0.167,24,0,0.0000,3.9166
2025-12-07T14:29:55.738623,5,0,0,UP,0.6093,0,0,1,-0.115,0.091,29,1,0.0000,3.9146
2025-12-07T14:29:58.068622,5,1,1,DOWN,0.6559,0,0,2,-0.120,0.097,20,0,0.0000,3.8968
2025-12-07T14:30:00.215969,5,2,0,UP,-50.0000,1,0,3,-0.126,0.109,23,0,0.0000,3.8846
